Date,Open,High,Low,Close,Adj Close,Volume,,,,mean,,MAM
01-01-12,15640,15790,15640,15740,15027.06836,29592,,,,15690,,15690
02-01-12,15670,15970,15540,15780,15065.25879,46260,,,,15725,,15707.5
03-01-12,15950,15950,15670,15800,15084.35645,54831,,,,15875,,15763.33333
04-01-12,15600,15680,15330,15410,14712.01856,81482,,,,15505,,
05-01-12,15590,15980,15570,15910,15189.37207,48584,,,,15750,,
08-01-12,16100,16110,15970,16090,15361.2168,20564,,,,16095,,
09-01-12,15960,16020,15820,15830,15112.99316,43720,,,,15895,,
10-01-12,15850,15920,15800,15920,15198.91699,32505,,,,15885,,
11-01-12,15880,16020,15430,15460,14759.75293,84078,,,,15670,,
12-01-12,15590,15660,15430,15450,14750.20508,44303,,,,15520,,
15-01-12,null,null,null,null,null,null,,,,,,
16-01-12,15570,15650,15480,15570,14864.77051,23032,,,,,,
17-01-12,15860,16090,15790,15970,15246.65625,51803,,,,,,
18-01-12,15900,16080,15770,15940,15218.01172,60717,,,,,,
19-01-12,16000,16060,15890,15950,15227.55859,58312,,,,,,
22-01-12,16000,16060,15810,15860,15141.63477,37551,,,,,,
23-01-12,15830,15970,15780,15820,15103.44629,27149,,,,,,
24-01-12,15800,15840,15260,15660,14950.69238,83314,,,,,,
25-01-12,15740,15880,15630,15630,14922.05371,38945,,,,,,
26-01-12,15630,15870,15560,15870,15151.18164,184422,,,,,,
29-01-12,15770,15840,15650,15790,15074.80566,15902,,,,,,
30-01-12,15660,15770,15500,15630,14922.05371,29359,,,,,,
31-01-12,15630,15720,15540,15600,14893.41309,86298,,,,,,
01-02-12,15440,15630,15360,15360,14664.28125,99591,,,,,,
02-02-12,15360,15480,15260,15340,14645.19043,27783,,,,,,
05-02-12,15490,15550,15170,15190,14501.97949,79267,,,,,,
06-02-12,15150,15180,14580,14580,13919.61328,171491,,,,,,
07-02-12,14580,14680,14340,14550,13890.9707,116696,,,,,,
12-02-12,14300,14550,14180,14430,13776.4043,112395,,,,,,
13-02-12,14390,14450,14120,14260,13614.10254,109731,,,,,,
14-02-12,14250,14530,14200,14480,13824.1416,81798,,,,,,
15-02-12,14550,14670,14500,14560,13900.51758,71195,,,,,,
16-02-12,14400,14470,14300,14340,13690.48535,41334,,,,,,
19-02-12,14450,14530,14280,14400,13747.76465,90285,,,,,,
20-02-12,14440,14510,14190,14310,13661.84082,44145,,,,,,
21-02-12,14280,14330,14200,14250,13604.55859,44996,,,,,,
22-02-12,14240,14390,14110,14260,13614.10254,54707,,,,,,
23-02-12,14050,14160,13860,13860,13232.22363,167442,,,,,,
26-02-12,13800,13900,13600,13600,12984.00195,48533,,,,,,
27-02-12,13450,13660,13370,13560,12945.81348,131475,,,,,,
28-02-12,13560,13650,13320,13390,12783.51367,73070,,,,,,
29-02-12,13280,13870,13200,13870,13241.77441,99313,,,,,,
01-03-12,13820,13970,13740,13850,13222.67773,63681,,,,,,
04-03-12,13820,13940,13720,13840,13213.13184,19555,,,,,,
05-03-12,13800,13910,13660,13830,13203.58203,51697,,,,,,
06-03-12,13790,13900,13620,13670,13050.83106,40687,,,,,,
07-03-12,13620,13800,13560,13760,13136.75391,28956,,,,,,
11-03-12,13800,13820,13430,13560,12945.81348,49959,,,,,,
12-03-12,13560,13650,13460,13500,12888.52832,111001,,,,,,
13-03-12,13620,13890,13530,13680,13060.37402,127412,,,,,,
14-03-12,13480,14150,13380,14050,13413.61816,289053,,,,,,
15-03-12,14130,14320,14050,14230,13585.46484,109350,,,,,,
18-03-12,14290,14440,14140,14340,13690.48535,51746,,,,,,
19-03-12,14230,14300,14050,14270,13623.65527,74999,,,,,,
20-03-12,14220,14400,13890,14030,13394.52246,104326,,,,,,
21-03-12,14050,14170,13930,14090,13451.80762,68316,,,,,,
22-03-12,14050,14070,13850,13870,13241.77441,56377,,,,,,
25-03-12,13900,14090,13770,13850,13222.67773,96685,,,,,,
26-03-12,13950,14090,13810,13860,13232.22363,99113,,,,,,
27-03-12,13910,14170,13880,14170,13528.17969,129306,,,,,,
28-03-12,14090,14400,14090,14230,13585.46484,54214,,,,,,
29-03-12,14150,14390,14110,14390,13738.21777,147859,,,,,,
01-04-12,14390,14390,14110,14190,13547.27539,30160,,,,,,
02-04-12,14150,14320,14070,14240,13595.01172,37405,,,,,,
03-04-12,14130,14200,13980,14200,13585.44629,45951,,,,,,
04-04-12,14030,14180,13970,14040,13432.37012,39032,,,,,,
05-04-12,14000,14300,13970,14250,13633.27832,74462,,,,,,
08-04-12,14100,14320,14100,14190,13575.87793,9603,,,,,,
09-04-12,14100,14300,14100,14150,13537.60547,11463,,,,,,
10-04-12,14260,14300,14100,14240,13623.71387,18120,,,,,,
11-04-12,14150,14270,14100,14250,13633.27832,16086,,,,,,
15-04-12,14030,14150,13970,14130,13518.47363,43346,,,,,,
16-04-12,14060,14230,13970,14230,13614.14453,56025,,,,,,
17-04-12,14110,14190,14070,14070,13461.07227,52579,,,,,,
18-04-12,14000,14100,13930,13940,13336.69629,53156,,,,,,
19-04-12,13910,14050,13740,13900,13298.42871,51584,,,,,,
22-04-12,13750,13930,13700,13830,13231.45801,38023,,,,,,
23-04-12,13720,13740,13520,13660,13068.81543,50433,,,,,,
24-04-12,13660,13710,13550,13610,13020.97754,122022,,,,,,
29-04-12,13620,13830,13550,13760,13164.48535,45914,,,,,,
30-04-12,13730,13880,13710,13750,13154.91797,68717,,,,,,
01-05-12,13650,13800,13350,13360,12781.79883,61549,,,,,,
02-05-12,13400,13450,13140,13220,12647.85547,42078,,,,,,
03-05-12,13220,13450,13120,13430,12848.76953,48597,,,,,,
06-05-12,13250,13430,13240,13400,12820.06836,36661,,,,,,
07-05-12,13350,13520,13290,13500,12915.73926,60321,,,,,,
08-05-12,13530,13560,13310,13500,12915.73926,43647,,,,,,
09-05-12,13520,13560,13350,13540,12954.00684,38597,,,,,,
10-05-12,13600,13780,13600,13670,13078.38574,58518,,,,,,
13-05-12,13580,13600,13430,13480,12896.60547,22851,,,,,,
14-05-12,13410,13500,13070,13280,12705.26172,59060,,,,,,
15-05-12,13480,13740,13150,13380,12800.93164,94926,,,,,,
16-05-12,13200,13680,13200,13650,13059.24902,62704,,,,,,
17-05-12,13660,13690,13010,13160,12590.4541,69129,,,,,,
20-05-12,12980,13330,12960,13170,12600.02344,84866,,,,,,
21-05-12,13170,13360,12980,12980,12418.24316,59005,,,,,,
22-05-12,12980,13550,12980,13400,12820.06836,197913,,,,,,
23-05-12,13210,13310,13060,13180,12609.58789,132124,,,,,,
24-05-12,13370,13490,13200,13260,12715.07031,237538,,,,,,
28-05-12,13500,13560,13360,13460,12906.85059,49694,,,,,,
